song,label
01-MFCC.csv,kishore
02-MFCC.csv,kishore
03-MFCC.csv,michael
04-MFCC.csv,kishore
05-MFCC.csv,National_Anthem
06-MFCC.csv,kishore
07-MFCC.csv,kishore
08-MFCC.csv,michael
09-MFCC.csv,kishore
10-MFCC.csv,National_Anthem
11-MFCC.csv,Lavani
12-MFCC.csv,kishore
13-MFCC.csv,National_Anthem
14-MFCC.csv,National_Anthem
15-MFCC.csv,kishore
16-MFCC.csv,Lavani
17-MFCC.csv,michael
18-MFCC.csv,michael
19-MFCC.csv,kishore
20-MFCC.csv,kishore
21-MFCC.csv,kishore
22-MFCC.csv,michael
23-MFCC.csv,National_Anthem
24-MFCC.csv,kishore
25-MFCC.csv,kishore
26-MFCC.csv,kishore
27-MFCC.csv,Bhavgeet
28-MFCC.csv,kishore
29-MFCC.csv,Bhavgeet
30-MFCC.csv,kishore
31-MFCC.csv,kishore
32-MFCC.csv,michael
33-MFCC.csv,kishore
34-MFCC.csv,michael
35-MFCC.csv,Bhavgeet
36-MFCC.csv,kishore
37-MFCC.csv,Bhavgeet
38-MFCC.csv,kishore
39-MFCC.csv,kishore
40-MFCC.csv,michael
41-MFCC.csv,kishore
42-MFCC.csv,kishore
43-MFCC.csv,michael
44-MFCC.csv,michael
45-MFCC.csv,Lavani
46-MFCC.csv,kishore
47-MFCC.csv,kishore
48-MFCC.csv,kishore
49-MFCC.csv,kishore
50-MFCC.csv,kishore
51-MFCC.csv,michael
52-MFCC.csv,michael
53-MFCC.csv,michael
54-MFCC.csv,kishore
55-MFCC.csv,michael
56-MFCC.csv,kishore
57-MFCC.csv,kishore
58-MFCC.csv,kishore
59-MFCC.csv,kishore
60-MFCC.csv,kishore
61-MFCC.csv,kishore
62-MFCC.csv,kishore
63-MFCC.csv,michael
64-MFCC.csv,michael
65-MFCC.csv,asha
66-MFCC.csv,kishore
67-MFCC.csv,Lavani
68-MFCC.csv,Lavani
69-MFCC.csv,asha
70-MFCC.csv,kishore
71-MFCC.csv,kishore
72-MFCC.csv,kishore
73-MFCC.csv,kishore
74-MFCC.csv,kishore
75-MFCC.csv,kishore
76-MFCC.csv,Bhavgeet
77-MFCC.csv,michael
78-MFCC.csv,kishore
79-MFCC.csv,kishore
80-MFCC.csv,Lavani
81-MFCC.csv,kishore
82-MFCC.csv,kishore
83-MFCC.csv,michael
84-MFCC.csv,kishore
85-MFCC.csv,kishore
86-MFCC.csv,michael
87-MFCC.csv,kishore
88-MFCC.csv,michael
89-MFCC.csv,kishore
90-MFCC.csv,kishore
91-MFCC.csv,Lavani
92-MFCC.csv,michael
93-MFCC.csv,kishore
94-MFCC.csv,kishore
95-MFCC.csv,kishore
96-MFCC.csv,michael
97-MFCC.csv,michael
98-MFCC.csv,michael
99-MFCC.csv,michael
100-MFCC.csv,kishore
101-MFCC.csv,Lavani
102-MFCC.csv,asha
103-MFCC.csv,michael
104-MFCC.csv,michael
105-MFCC.csv,asha
106-MFCC.csv,asha
107-MFCC.csv,michael
108-MFCC.csv,asha
109-MFCC.csv,asha
110-MFCC.csv,kishore
111-MFCC.csv,asha
112-MFCC.csv,michael
113-MFCC.csv,kishore
114-MFCC.csv,National_Anthem
115-MFCC.csv,National_Anthem
116-MFCC.csv,asha
